,tailnum,origin,dest,qa_year_month_day,qa_hour_minute,qa_dep_arr_time,qa_dep_arr_delay,qa_carrier,qa_tailnum,qa_flight,qa_origin_dest,qa_air_time,qa_distance,qa_distance_airtime
6028,N68821,PDX,SFO,,,,,,F,,,,,TL
6029,N594AS,PDX,DCA,,,,,,,F,,,,TL
6030,N812SK,SEA,SJC,,,,,,,,,,,TL
6031,N630JB,PDX,LGB,,,,,,,,,,,TR
6032,N564SW,SEA,PDX,,,,,,,,,,,TR
6033,N644JB,PDX,BOS,,,,,,,F,,,,TL
6034,N582NW,PDX,MSP,,,,,,,,,,,TL
6035,N624AW,PDX,PHX,,,,,,,F,,,,TL
6036,N436WN,SEA,PHX,,,,,,,,,,,TL
6037,N809SK,SEA,LAS,,,,,,,,,,,TL
6038,N514AS,SEA,LAX,,,,,,,F,,,,TR
6039,N68807,SEA,IAD,,,,,,F,,,,,TL
6040,N216AG,SEA,LGB,,,,,,,,,,,TL
6041,N3HEAA,SEA,ORD,,,,,,F,F,,,,TR
6042,N556JB,SEA,BOS,,,,,,,F,,,,TL
6043,N453AS,SEA,LAX,,,,,,,F,,,,TL
6044,N538AS,PDX,SJC,,,,,,,F,,,,TL
6045,N594AS,SEA,LIH,,,,,,,F,,,,TL
6046,N587NW,SEA,HNL,,,,,,,,,,,TL
6047,N384DA,SEA,ANC,,,,,,,,,,,TL
6048,N769AS,SEA,JNU,,,,,,,F,,,,TR
6049,N3AAAA,PDX,ORD,,,,,,F,F,,,,TR
6050,N535AS,SEA,SNA,,,,,,,F,,,,TL
6051,N961WN,PDX,RNO,,,,,,,,,,,TR
6052,N523AS,PDX,LAX,,,,,,,F,,,,TR
6053,N767AS,SEA,SFO,,,,,,,F,,,,TL
6054,N652JB,SEA,LGB,,,,,,,,,,,TL
6055,N6712B,SEA,DTW,,,,,,,,,,,TL
6056,N765AS,SEA,ANC,,,,,,,F,,,,TL
6057,N779AS,SEA,SMF,,,,,,,F,,,,TR
6058,N924FR,SEA,DEN,,,,,,,F,,,,TR
6059,N644AW,PDX,PHX,,,,,,,F,,,,TR
6060,N3761R,SEA,SLC,,,,,,,,,,,TR
6061,N3GGAA,SEA,MIA,,,,,,F,,,,,TL
6062,N227AG,SEA,SLC,,,,,,,,,,,TR
6063,N223FR,PDX,DEN,,,,,,,F,,,,TL
6064,N202FR,SEA,DEN,,,,,,,F,,,,TL
6065,N619SW,PDX,SMF,,,,,,,F,,,,TR
6066,N218AG,SEA,LGB,,,,,,,,,,,TL
6067,N570AS,SEA,ANC,,,,,,,F,,,,TL
6068,N325US,SEA,SLC,,,,,,,,,,,TR
6069,N3GUAA,SEA,DFW,,,FD,,,F,,,,,TL
6070,N512AS,SEA,OAK,,,,,,,F,,,,TR
6071,N570AS,SEA,LAS,,,,,,,F,,,,TR
6072,N706AS,PDX,SAN,,,MA,MA,,,F,,M,,M
6073,N965WN,PDX,DEN,,,,,,,F,,,,TR
6074,N920WN,PDX,OAK,,,,,,,,,,,TR
6075,N407WN,SEA,LAS,,,,,,,,,,,TR
6076,N7732A,PDX,MDW,,,,,,,,,,,TR
6077,N460UA,SEA,SFO,,,,,,,F,,,,TL
6078,N291SW,PDX,EUG,,,,,,,,,,,TR
6079,N563AS,SEA,DEN,,,,,,,F,,,,TR
6080,N344NW,SEA,LAX,,,,,,,,,,,TL
6081,N663AW,PDX,PHX,,,,,,,F,,,,TR
6082,N413AS,SEA,LAS,,,,,,,F,,,,TR
6083,N356SW,SEA,OAK,,,,,,,,,,,TL
6084,N570AS,PDX,LAX,,,,,,,F,,,,TR
6085,N779AS,SEA,LAX,,,,,,,F,,,,TR
6086,N843UA,SEA,EWR,,,,,,,F,,,,TL
6087,N619AS,SEA,LAX,,,,,,,F,,,,TR
6088,N391HA,PDX,HNL,,,,,,,F,,,,TL
6089,N614SW,PDX,SLC,,,,,,,F,,,,TR
6090,N320AS,PDX,SAN,,,,,,,F,,,,TR
6091,N819DN,SEA,SLC,,,,,,,,,,,TR
6092,N566AS,SEA,ANC,,,FA,,,,F,,,,TL
6093,N419AS,SEA,EWR,,,,,,,F,,,,TL
6094,N5DUAA,SEA,DFW,,,,,,F,F,,,,TR
6095,N392SW,SEA,SAN,,,,,,,,,,,TR
6096,N569AS,PDX,PHX,,,,,,,F,,,,TL
6097,N34455,SEA,SFO,,,,,,F,,,,,TR
6098,N845VA,SEA,SFO,,,,,,,F,,,,TR
6099,N986CA,PDX,DEN,,,,,,,,,,,TL
6100,N608SK,PDX,SEA,,,,,,,,,,,TR
6101,N614AS,SEA,SNA,,,,,,,F,,,,TL
6102,N773SA,SEA,SJC,,,,,,,F,,,,TL
6103,N3773D,PDX,ATL,,,,,,,,,,,TR
6104,N564AS,SEA,SJC,,,,,,,F,,,,TR
6105,N320AS,SEA,LAS,,,,,,,F,,,,TL
6106,N3736C,SEA,SLC,,,,,,,,,,,TR
6107,N527AS,PDX,LAX,,,,,,,F,,,,TR
6108,N384SW,SEA,ABQ,,,,,,,F,,,,TR
6109,N7743B,PDX,SJC,,,,,,,,,,,TR
6110,N855VA,SEA,SFO,,,,,,,F,,,,TL
6111,N547US,SEA,SLC,,,,,,,,,,,TR
6112,N811UA,PDX,SFO,,,,,,,F,,,,TR
6113,N121DE,SEA,DTW,,,,,,,,,,,TR
6114,N409AS,PDX,BOS,,,,,,,F,,,,TL
6115,N556AS,SEA,DEN,,,,,,,F,,,,TR
6116,N743SW,SEA,OAK,,,,,,,F,,,,TL
6117,N652BR,PDX,LAX,,,,,,,,,,,TL
6118,N519AS,SEA,DCA,,,,,,,F,,,,TL
6119,N808AW,PDX,PHX,,,,,,,F,,,,TR
6120,N209WN,PDX,SJC,,,,,,,,,,,TL
6121,N221WN,PDX,SMF,,,,,,,F,,,,TR
6122,N588AS,PDX,SJC,,,,,,,F,,,,TR
6123,N218AG,SEA,SLC,,,,,,,,,,,TR
6124,N320AS,PDX,LAX,,,,,,,F,,,,TL
6125,N614AS,PDX,SFO,,,,,,,F,,,,TL
6126,N302AS,SEA,LAS,,,,,,,F,,,,TR
6127,N391HA,PDX,HNL,,,,,,,F,,,,TL
6128,N569SW,PDX,SEA,,,,,,,,,,,TR
6129,N14242,SEA,SFO,,,,,,F,,,,,TL
6130,N563SW,PDX,SEA,,,,,,,,,,,TR
6131,N778AS,SEA,JNU,,,,,,,F,,,,TL
6132,N420WN,PDX,SMF,,,,,,,,,,,TR
6133,N462UA,SEA,SFO,,,,,,,F,,,,TL
6134,N68805,SEA,SFO,,,,,,F,,,,,TL
6135,N553AS,SEA,SNA,,,,,,,F,,,,TL
6136,N216AG,PDX,BUR,,,,,,,,,,,TR
6137,N782SA,PDX,SLC,,,,,,,,,,,TR
6138,N28457,SEA,IAD,,,,,,F,,,,,TR
6139,N594AS,SEA,DCA,,,,,,,F,,,,TR
6140,N548AS,PDX,ANC,,,,,,,F,,,,TL
6141,N3HPAA,SEA,DFW,,,,,,F,,,,,TL
6142,N393DA,SEA,SAN,,,,,,,F,,,,TL
6143,N421LV,PDX,SMF,,,,,,,,,,,TR
6144,N957DN,PDX,MSP,,,,,,,,,,,TR
6145,N794AS,SEA,LAX,,,,,,,F,,,,TL
6146,N171US,SEA,CLT,,,,,,,,,,,TL
6147,N845VA,SEA,SFO,,,,,,,F,,,,TL
6148,N384DA,PDX,MSP,,,,,,,,,,,TR
6149,N3ARAA,SEA,DFW,,,,,,F,F,,,,TR
6150,N963SW,PDX,SFO,,MH,MD,MD,,,,,M,,M
6151,N594AS,PDX,LAX,,,,,,,F,,,,TR
6152,N936SW,SEA,SFO,,,,,,,,,,,TL
6153,N243WN,PDX,MCI,,,,,,,F,,,,TR
6154,N512AS,SEA,OAK,,,,,,,F,,,,TR
6155,N523VA,SEA,SFO,,,,,,,F,,,,TL
6156,N5CEAA,SEA,DFW,,,,,,F,F,,,,TL
6157,N210FR,SEA,DEN,,,,,,,F,,,,TR
6158,N627AS,SEA,DEN,,,,,,,F,,,,TR
6159,N406WN,SEA,SMF,,,,,,,,,,,TR
6160,N670SW,PDX,SJC,,,,,,,F,,,,TR
6161,N618AS,SEA,LAS,,,,,,,F,,,,TR
6162,N843VA,SEA,SFO,,,,,,,F,,,,TL
6163,N778AS,SEA,LAX,,,,,,,F,,,,TL
6164,N752SW,PDX,DEN,,,,,,,,,,,TR
6165,N218FR,PDX,DEN,,,,,,,F,,,,TR
6166,N554CA,SEA,SJC,,,,,,,,,,,TR
6167,N33203,PDX,SFO,,,,,,F,,,,,TR
6168,N528AS,PDX,LAX,,,,,,,F,,,,TL
6169,N731SA,SEA,DEN,,,,,,,,,,,TL
6170,N586AS,SEA,SLC,,,,,,,F,,,,TR
6171,N704SW,SEA,PHX,,,,,,,,,,,TR
6172,N711ZX,SEA,JFK,,,,,,,F,,,,TL
6173,N611AS,PDX,LAS,,,,,,,F,,,,TR
6174,N792AS,SEA,LAX,,,,,,,F,,,,TR
6175,N457AS,SEA,IAH,,,,,,,F,,,,TL
6176,N4XXAA,PDX,DFW,,,,,,F,F,,,,TL
6177,N729JB,PDX,JFK,,,,,,,,,,,TR
6178,N954WN,PDX,DEN,,,,,,,,,,,TR
6179,N3CJAA,SEA,ORD,,,,,,F,,,,,TR
6180,N333NW,SEA,SLC,,,,,,,,,,,TR
6181,N815DN,SEA,MSP,,,,,,,F,,,,TL
6182,N303AS,SEA,ORD,,,,,,,F,,,,TR
6183,N217AG,SEA,SLC,,,,,,,,,,,TR
6184,N596AS,PDX,ANC,,,,,,,F,,,,TL
6185,N3749D,SEA,DTW,,,,,,,,,,,TL
6186,N294SW,SEA,PDX,,,,,,,,,,,TR
6187,N224AG,PDX,BUR,,,,,,,,,,,TL
6188,N687DL,SEA,ATL,,,,,,,,,,,TR
6189,N568SW,PDX,SEA,,,,,,,,,,,TR
6190,N69804,SEA,EWR,,,,,,F,,,,,TL
6191,N453AS,SEA,PHX,,,,,,,F,,,,TL
6192,N39450,SEA,IAH,,,,,,F,,,,,TL
6193,N579AS,SEA,SNA,,,,,,,F,,,,TL
6194,N127DL,SEA,DTW,,,,,,,F,,,,TR
6195,N457AS,SEA,IAH,,,,,,,F,,,,TR
6196,N520AS,SEA,SMF,,,,,,,F,,,,TR
6197,N655AW,PDX,PHL,,,,,,,F,,,,TR
6198,N218AG,PDX,ONT,,,,,,,,,,,TR
6199,N712JB,SEA,BOS,,,,,,,F,,,,TR
6200,N224AG,PDX,SBA,,,,,,,,,,,TL
6201,N583AS,SEA,LIH,,,,,,,F,,,,TL
6202,N969SW,PDX,DEN,,,,,,,,,,,TL
6203,N821SK,SEA,LAS,,,,,,,,,,,TR
6204,N431AS,SEA,OAK,,,,,,,F,,,,TR
6205,N223AG,PDX,BUR,,,,,,,,,,,TR
6206,N315AS,SEA,LAX,,,,,,,F,,,,TR
6207,N3750D,SEA,DTW,,,,,,,,,,,TR
6208,N557AS,SEA,MCO,,,,,,,F,,,,TR
6209,N538UA,SEA,EWR,,,,,,,F,,,,TR
6210,N3773D,PDX,DTW,,,,,,,F,,,,TR
6211,N438WN,PDX,SMF,,,,,,,,,,,TR
6212,N435AS,SEA,OAK,,,,,,,F,,,,TL
6213,N647SW,SEA,SLC,,,,,,,,,,,TR
6214,N566SW,PDX,RDM,,,,,,,,,,,TR
6215,N530AS,SEA,ANC,,,,,,,F,,,,TL
6216,N210FR,SEA,DEN,,,,,,,F,,,,TR
6217,N396HA,SEA,OGG,,,,,,,F,,,,TL
6218,N433AS,SEA,LAX,,,FA,,,,F,,,,TL
6219,N552AS,PDX,DFW,,,,,,,F,,,,TL
6220,N528AS,SEA,DCA,,,,,,,F,,,,TL
6221,N569AS,SEA,SMF,,,,,,,F,,,,TR
6222,N3EPAA,SEA,DFW,,,,,,F,,,,,TL
6223,N224WN,SEA,SLC,,,,,,,F,,,,TR
6224,N523VA,PDX,SFO,,,,,,,F,,,,TL
6225,N3748Y,PDX,ATL,,,,,,,,,,,TR
6226,N36469,PDX,SFO,,,,,,F,,,,,TR
6227,N292SW,SEA,PDX,,,,,,,,,,,TR
6228,N592NW,SEA,HNL,,,,,,,,,,,TL
6229,N518AS,SEA,KOA,,,,,,,F,,,,TL
6230,N713AS,SEA,SMF,,,,,,,F,,,,TR
6231,N822DN,SEA,SLC,,,,,,,,,,,TR
6232,N5EFAA,SEA,DFW,,,,,,F,F,,,,TR
6233,N942WN,SEA,HOU,,,,,,,F,,,,TL
6234,N514AS,PDX,ORD,,MH,MD,MD,,,F,,M,,M
6235,N531AS,SEA,DCA,,,,,,,F,,,,TL
6236,N369SW,SEA,SMF,,,,,,,,,,,TR
6237,N3FFAA,SEA,DFW,,,,,,F,F,,,,TL
6238,N652AW,SEA,PHX,,,,,,,F,,,,TR
6239,N220FR,SEA,CLE,,,,,,,,,,,TR
6240,N760US,SEA,PHL,,,,,,,F,,,,TL
6241,N792AS,SEA,FAI,,,,,,,F,,,,TL
6242,N407AS,PDX,LAX,,,,,,,F,,,,TR
6243,N533AS,SEA,SMF,,,,,,,F,,,,TR
6244,N567SW,SEA,PDX,,,,,,,,,,,TR
6245,N420UA,SEA,IAD,,,,,,,F,,,,TL
6246,N942WN,SEA,LAS,,,,,,,F,,,,TL
6247,N769AS,PDX,LAX,,,,,,,F,,,,TL
6248,N741SA,PDX,SMF,,,,,,,,,,,TR
6249,N824SK,SEA,PDX,,,,,,,,,,,TR
6250,N779AS,SEA,GEG,,,,,,,F,,,,TR
6251,N764AS,SEA,KTN,,,,,,,F,,,,TR
6252,N694DL,SEA,SLC,,,,,,,,,,,TR
6253,N3JSAA,SEA,DFW,,,,,,F,,,,,TL
6254,N824DN,PDX,ATL,,,,,,,,,,,TR
6255,N227AG,PDX,SBA,,,,,,,,,,,TR
6256,N792AS,SEA,SLC,,,,,,,F,,,,TR
6257,N849VA,PDX,SFO,,,,,,,F,,,,TR
6258,N162PQ,SEA,PDX,,,,,,,,,,,TR
6259,N705AS,SEA,SAN,,,,,,,F,,,,TL
6260,N386HA,SEA,HNL,,,,,,,F,,,,TL
6261,N341NW,SEA,SLC,,,,,,,,,,,TR
6262,N584SW,PDX,SEA,,,,,,,,,,,TR
6263,N633SW,SEA,OAK,,,,,,,F,,,,TR
6264,N631SK,SEA,SJC,,,,,,,,,,,TR
6265,N546AS,SEA,SAN,,,,,,,F,,,,TR
6266,N7734H,SEA,SMF,,,,,,,F,,,,TR
6267,N8638A,SEA,MDW,,,,,,,,,,,TL
6268,N3759,SEA,ANC,,,,,,F,,,,,TR
